Date,season,interest_rate,permit,loan,hp,Sentiment
2010/7/1,79,0.203,6948,2059380,195.97,0.015146167
2010/10/1,80,0.232,8485,1930538,206.76,0.019433112
2011/1/1,81,0.264333333,7676,1764167,215.94,0.017838164
2011/4/1,82,0.319666667,8333,1662247,218.72,0.015630602
2011/7/1,83,0.385666667,7997,1566944,224.95,0.018099466
2011/10/1,84,0.397,9155,1478567,227.03,0.0087283
2012/1/1,85,0.401333333,7173,1389058,231.1,0.018466653
2012/4/1,86,0.500333333,8087,1304774,241.27,0.017323674
2012/7/1,87,0.407333333,7756,1227691,244.19,0.019564006
2012/10/1,88,0.387333333,8221,1161629,248.95,0.020561118
2013/1/1,89,0.387,7475,1093207,259.2,0.025196164
2013/4/1,90,0.386,8691,1029598,278.51,0.022580678
2013/7/1,91,0.386,8521,966414,280.87,0.021175262
2013/10/1,92,0.386666667,8844,912244,286.53,0.020334483
2014/1/1,93,0.387333333,7727,860073,290.73,0.015154901
2014/4/1,94,0.387333333,8563,812535,297.78,0.014161751
2014/7/1,95,0.386666667,7957,768749,294.88,0.01316292
2014/10/1,96,0.387,7747,729507,292.6,0.01464897
2015/1/1,97,0.387333333,6822,691539,291.84,0.011512032
2015/4/1,98,0.387,7201,653534,289.3,0.016120653
2015/7/1,99,0.358,6734,610980,285.43,0.014162004
2015/10/1,100,0.292333333,6886,567651,280.63,0.014685998
2016/1/1,101,0.212,5206,523898,274.2,0.008215368
2016/4/1,102,0.201,5745,483141,279.74,0.013309076
2016/7/1,103,0.18,5544,450550,278.97,0.007337649
2016/10/1,104,0.178333333,6016,426587,277.06,0.009777954
2017/1/1,105,0.175333333,5819,404715,278.24,0.012558542
2017/4/1,106,0.176666667,6075,384031,282.36,0.015113055
2017/7/1,107,0.182666667,6527,364337,279.62,0.016768677
2017/10/1,108,0.179,6614,346459,281.96,0.020088293
2018/1/1,109,0.180333333,6496,328527,283.34,0.022596642
2018/4/1,110,0.187333333,6942,311298,285.55,0.021288557
2018/7/1,111,0.181333333,6698,294999,283.98,0.015032777
2018/10/1,112,0.181666667,7208,279742,287.2,0.019271431
2019/1/1,113,0.179,5664,264939,289.33,0.026147987
2019/4/1,114,0.193,7288,251090,294.46,0.026015955
2019/7/1,115,0.180666667,6982,237784,293.35,0.022124579
2019/10/1,116,0.176666667,7209,226207,296.48,0.024527354
2020/1/1,117,0.167333333,5900,215121,297.06,0.022619216
2020/4/1,118,0.08,6533,204798,302.61,0.028728501
2020/7/1,119,0.082333333,6927,196119,311.23,0.031022051
2020/10/1,120,0.082,NA,NA,NA,0.026983343
